MaSo,MaTinhThanh,Ten,DonVi,EnglishName
777,79,Bình Tân,Quận,BinhTan
778,79,7,Quận,7
783,79,Củ Chi,Huyện,CuChi
784,79,Hóc Môn,Huyện,HocMon
785,79,Bình Chánh,Huyện,BinhChanh
786,79,Nhà Bè,Huyện,NhaBe
787,79,Cần Giờ,Huyện,CanGio
794,80,Tân An,Thành phố,TanAn
795,80,Kiến Tường,Thị xã,KienTuong
796,80,Tân Hưng,Huyện,TanHung
797,80,Vĩnh Hưng,Huyện,VinhHung
798,80,Mộc Hóa,Huyện,MocHoa
799,80,Tân Thạnh,Huyện,TanThanh
800,80,Thạnh Hóa,Huyện,ThanhHoa
801,80,Đức Huệ,Huyện,DucHue
802,80,Đức Hòa,Huyện,DucHoa
803,80,Bến Lức,Huyện,BenLuc
804,80,Thủ Thừa,Huyện,ThuThua
805,80,Tân Trụ,Huyện,TanTru
806,80,Cần Đước,Huyện,CanDuoc
807,80,Cần Giuộc,Huyện,CanGiuoc
808,80,Châu Thành,Huyện,ChauThanh
815,82,Mỹ Tho,Thành phố,MyTho
816,82,Gò Công,Thành phố,GoCong
817,82,Cai Lậy,Thị xã,CaiLay
818,82,Tân Phước,Huyện,TanPhuoc
819,82,Cái Bè,Huyện,CaiBe
820,82,Cai Lậy,Huyện,CaiLay
821,82,Châu Thành,Huyện,ChauThanh
822,82,Chợ Gạo,Huyện,ChoGao
823,82,Gò Công Tây,Huyện,GoCongTay
824,82,Gò Công Đông,Huyện,GoCongDong
825,82,Tân Phú Đông,Huyện,TanPhuDong
829,83,Bến Tre,Thành phố,BenTre
831,83,Châu Thành,Huyện,ChauThanh
832,83,Chợ Lách,Huyện,ChoLach
833,83,Mỏ Cày Nam,Huyện,MoCayNam
834,83,Giồng Trôm,Huyện,GiongTrom
835,83,Bình Đại,Huyện,BinhDai
836,83,Ba Tri,Huyện,BaTri
837,83,Thạnh Phú,Huyện,ThanhPhu
838,83,Mỏ Cày Bắc,Huyện,MoCayBac
842,84,Trà Vinh,Thành phố,TraVinh
844,84,Càng Long,Huyện,CangLong
845,84,Cầu Kè,Huyện,CauKe
846,84,Tiểu Cần,Huyện,TieuCan
847,84,Châu Thành,Huyện,ChauThanh
848,84,Cầu Ngang,Huyện,CauNgang
849,84,Trà Cú,Huyện,TraCu
850,84,Duyên Hải,Huyện,DuyenHai
851,84,Duyên Hải,Thị xã,DuyenHai
855,86,Vĩnh Long,Thành phố,VinhLong
857,86,Long Hồ,Huyện,LongHo
858,86,Mang Thít,Huyện,MangThit
859,86,Vũng Liêm,Huyện,VungLiem
860,86,Tam Bình,Huyện,TamBinh
861,86,Bình Minh,Thị xã,BinhMinh
862,86,Trà Ôn,Huyện,TraOn
863,86,Bình Tân,Huyện,BinhTan
866,87,Cao Lãnh,Thành phố,CaoLanh
867,87,Sa Đéc,Thành phố,SaDec
868,87,Hồng Ngự,Thành phố,HongNgu
869,87,Tân Hồng,Huyện,TanHong
870,87,Hồng Ngự,Huyện,HongNgu
871,87,Tam Nông,Huyện,TamNong
872,87,Tháp Mười,Huyện,ThapMuoi
873,87,Cao Lãnh,Huyện,CaoLanh
874,87,Thanh Bình,Huyện,ThanhBinh
875,87,Lấp Vò,Huyện,LapVo
876,87,Lai Vung,Huyện,LaiVung
877,87,Châu Thành,Huyện,ChauThanh
883,89,Long Xuyên,Thành phố,LongXuyen
884,89,Châu Đốc,Thành phố,ChauDoc
886,89,An Phú,Huyện,AnPhu
887,89,Tân Châu,Thị xã,TanChau
888,89,Phú Tân,Huyện,PhuTan
889,89,Châu Phú,Huyện,ChauPhu
890,89,Tịnh Biên,Thị xã,TinhBien
891,89,Tri Tôn,Huyện,TriTon
892,89,Châu Thành,Huyện,ChauThanh
893,89,Chợ Mới,Huyện,ChoMoi
894,89,Thoại Sơn,Huyện,ThoaiSon
899,91,Rạch Giá,Thành phố,RachGia
900,91,Hà Tiên,Thành phố,HaTien
902,91,Kiên Lương,Huyện,KienLuong
903,91,Hòn Đất,Huyện,HonDat
904,91,Tân Hiệp,Huyện,TanHiep
905,91,Châu Thành,Huyện,ChauThanh
906,91,Giồng Riềng,Huyện,GiongRieng
907,91,Gò Quao,Huyện,GoQuao
908,91,An Biên,Huyện,AnBien
909,91,An Minh,Huyện,AnMinh
